% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 20:41
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
0                                                 0.37699162393416136                               0.3787107959951158                                0.37885264056470874                               0.3801910144510422
600                                               0.37719989650188707                               0.37900658929066616                               0.37915753279907627                               0.38059859659972856
1200                                              0.377409803827879                                 0.37928523521182783                               0.37944376150740017                               0.3809823585357693
1800                                              0.37761971115386506                               0.3795520951075641                                0.3797170909501894                                0.3813365960506241
2400                                              0.37780215531940997                               0.37980436589801697                               0.37997560833762184                               0.3816571027400326
3000                                              0.37798159173001633                               0.38004367635928543                               0.38021974258610347                               0.38195227328816406
3600                                              0.3781610281406361                                0.3802690286196552                                0.38044860594411173                               0.3822230141952848
4200                                              0.3783327642071922                                0.3804802232275273                                0.3806618067094576                                0.38247635312312833
4800                                              0.37849828889565384                               0.38067682489423027                               0.3808587793666625                                0.38271455952313377
5400                                              0.3786589422437396                                0.38085839833114915                               0.3810464224117281                                0.38293536495441566
6000                                              0.3788147242514186                                0.3810401284335582                                0.3812406598326698                                0.38313876941695607
6600                                              0.3789656349187422                                0.3812246405994631                                0.3814287763338475                                0.38333232487317365
7200                                              0.3791116742456479                                0.381403832344261                                 0.3816107719152267                                0.3835199214495523
7800                                              0.37925301832265584                               0.3815777036679432                                0.3817866465768093                                0.38369620579298047
8400                                              0.3793897149726036                                0.3817462545704978                                0.38195640031863426                               0.38386117790340973
9000                                              0.37952170930049683                               0.38190948505192385                               0.3821200331406605                                0.38402421773874534
9600                                              0.3796490262350943                                0.3820673951122581                                0.3822775450429191                                0.3841837328661623
10200                                             0.37977169070509315                               0.3822199847514758                                0.38242893602536                                  0.3843373987275933
10800                                             0.3798897276392497                                0.38236725396956994                               0.38257816781162296                               0.38448521532305274
11400                                             0.3800031619662547                                0.38251033143210467                               0.3827246979616921                                0.3846166655162214
12000                                             0.3801120186148468                                0.38265272619838014                               0.38286645627874744                               0.384747993409982
12600                                             0.38021632251375703                               0.3827908657297831                                0.383003442762836                                 0.38487932130376645
13200                                             0.38031609859176474                               0.38292475002636106                               0.38313565741392624                               0.3850106491975451
13800                                             0.3804113717775127                                0.38305437908808304                               0.38326310023201027                               0.38514197709131937
14400                                             0.38050216699976397                               0.3831797529149702                                0.3833857712171183                                0.3852733049851057
15000                                             0.3805892345329416                                0.3833008715070235                                0.3835039401958383                                0.38540463287887483
15600                                             0.38067668395133586                               0.38341773486420433                               0.38362688457809524                               0.3855311853824181
16200                                             0.38076413336974035                               0.3835318445999557                                0.3837473238377522                                0.38565203082993904
16800                                             0.3808515827881295                                0.38364967231312963                               0.3838652579748639                                0.3857728762774789
17400                                             0.38093903220652064                               0.3837652603130746                                0.38398068698936577                               0.38589372172501674
18000                                             0.38102648162494357                               0.38387860859981304                               0.3840936108813143                                0.38601456717255667
18600                                             0.3811139310433399                                0.38398971717331554                               0.3842040296506906                                0.3861354126200941
19200                                             0.3812013804617442                                0.3840985860336058                                0.3843119432974769                                0.38625625806764385
19800                                             0.3812888298801365                                0.38420521518067363                               0.3844126322651807                                0.3863771035151667
20400                                             0.38137627929854323                               0.3843096046145149                                0.38450639519248647                               0.3864846499856192
21000                                             0.3814637287169432                                0.38441021102717243                               0.38460015811977716                               0.3865910424640198
21600                                             0.38155117813534867                               0.3845005248825037                                0.3846939210470493                                0.386697434942376
22200                                             0.381638627553745                                 0.3845908387378311                                0.38478768397435464                               0.38680382742073005
22800                                             0.38172607697214356                               0.38468115259315716                               0.3848814469016409                                0.3869102198990983
23400                                             0.3818135263905473                                0.3847714664484928                                0.3849752098289195                                0.3870166123774749
24000                                             0.38190097580894367                               0.38486178030379514                               0.38506897275619895                               0.38712300485582585
24600                                             0.3819884252273574                                0.3849520941591427                                0.385162735683493                                 0.3872293973342151
25200                                             0.38207587464575216                               0.3850424080144683                                0.3852564986107946                                0.3873357898125798
