% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 21:24
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
0                                                 0.37699153035702404                               0.3787107021831009                                0.37885254673333274                               0.38019092043718217
600                                               0.3771876836857356                                0.3789944523949431                                0.379145412804238                                 0.38058650948530703
1200                                              0.3773853766472254                                0.37926103831251334                               0.3794195679993551                                0.38095823259167555
1800                                              0.37758306960872684                               0.3795158648229795                                0.37968088280928003                               0.38130047921024557
2400                                              0.3777539084346026                                0.3797560980252179                                0.37992737061628673                               0.3816090654949302
3000                                              0.377921063428596                                 0.37998342385190875                               0.380159536274993                                 0.38189219379144385
3600                                              0.3780882184225906                                0.3801968418777654                                0.3803764750127537                                0.3821510104828166
4200                                              0.37824818375377345                               0.38039616038459967                               0.3805778061110951                                0.3823922529900922
4800                                              0.37840168809094055                               0.38058094998803704                               0.3807629684278185                                0.3826185209844094
5400                                              0.3785503568233605                                0.38075078130372325                               0.38093794265715014                               0.3828274355756859
6000                                              0.378694189951041                                 0.38091965563236563                               0.38112014465235067                               0.38301899676391393
6600                                              0.37883318747398087                               0.38109214370926325                               0.3812962613532223                                0.3832003577638677
7200                                              0.3789673493921732                                0.381259343122069                                 0.3814662927597588                                0.38337605968537913
7800                                              0.3790968228265716                                0.38142125387076015                               0.38163023887195746                               0.38354048987262745
8400                                              0.37922169619884355                               0.38157787595535847                               0.38178809968982946                               0.383693648325611
9000                                              0.37934189825500075                               0.3817292093758513                                0.38193987521336314                               0.3838444121024098
9600                                              0.3794574534103842                                0.3818752541322361                                0.3820855654425631                                0.38399198731939443
10200                                             0.3795683860803474                                0.38201601022452325                               0.38222517037742526                               0.3841337401653533
10800                                             0.3796747206802062                                0.3821514776527058                                0.38236215108688504                               0.3842696706402859
11400                                             0.37977648162531374                               0.3822823458185932                                0.3824968454424285                                0.38438963754402394
12000                                             0.3798736933309968                                0.38241290186834953                               0.3826267950729314                                0.3845088820857074
12600                                             0.37996638021259904                               0.38253922828049824                               0.38275199997841275                               0.3846281266273994
13200                                             0.38005456668545157                               0.38266132505504113                               0.3828724601588632                                0.38474737116908736
13800                                             0.38013827716490445                               0.38277919219198553                               0.382988175614293                                 0.3848666157107725
14400                                             0.3802175360662808                                0.38289282969132826                               0.38309914634469466                               0.38498586025246445
15000                                             0.38029259959027556                               0.38300223755306834                               0.3832053723500624                                0.3851051047941517
15600                                             0.3803680136221647                                0.3831074157772067                                0.3833157883343646                                0.3852202416823494
16200                                             0.3804434276540309                                0.38320886911087926                               0.3834243565935661                                0.38532903790095363
16800                                             0.3805188416859045                                0.3833148180727819                                0.3835304377011179                                0.38543783411956706
17400                                             0.3805942557177775                                0.38341854436873174                               0.38363403165702054                               0.3855466303381706
18000                                             0.3806696697496495                                0.383520047998725                                 0.38373513846127605                               0.38565542655677626
18600                                             0.38074508378152366                               0.3836193289627754                                0.38383375811388326                               0.38576422277538036
19200                                             0.3808204978134004                                0.38371638726086527                               0.38392989061484506                               0.3858730189939947
19800                                             0.3808959118452722                                0.3838112228930076                                0.38402030331727555                               0.38598181521260044
20400                                             0.38097132587715                                  0.38390383585919996                               0.3841020491133521                                0.38607853554305993
21000                                             0.3810467399090179                                0.3839942261594378                                0.38418379490942894                               0.38617294397906204
21600                                             0.3811221539408966                                0.38407266922465916                               0.38426554070551                                  0.3862673524150759
22200                                             0.3811975679727638                                0.3841509754825179                                0.3843472865015932                                0.38636176085108787
22800                                             0.38127298200464005                               0.3842292817403822                                0.3844290322976695                                0.3864561692870924
23400                                             0.38134839603651294                               0.38430758799824694                               0.384510778093751                                 0.3865505777231063
24000                                             0.3814238100683859                                0.38438589425610536                               0.38459252388982684                               0.3866449861591195
24600                                             0.381499224100259                                 0.3844642005139606                                0.38467426968590346                               0.3867393945951283
25200                                             0.38157463813213466                               0.3845425067718242                                0.3847560154819849                                0.38683380303114057
25800                                             0.38165005216400844                               0.38462081302968565                               0.384837761278065                                 0.3869282114671532
26400                                             0.38172546619588543                               0.38469911928755074                               0.38491950707414546                               0.3870226199031609
27000                                             0.3818008802277604                                0.38477742554540634                               0.38500125287022635                               0.3871170283391691
27600                                             0.38187629425963004                               0.38485573180326965                               0.3850829986662998                                0.387211436775186
28200                                             0.38195170829150676                               0.3849340380611344                                0.38516474446238314                               0.3873058452111977
28800                                             0.38201794999079797                               0.3850123443189921                                0.38524622687293425                               0.3874002536472087
29400                                             0.3820798154304794                                0.3850906505768508                                0.38531916262853905                               0.3874871308925244
30000                                             0.38214168087015626                               0.38516895683471014                               0.3853920983841453                                0.3875712461254125
30600                                             0.38220354630983433                               0.38524726309257534                               0.3854650341397508                                0.38765536135829687
31200                                             0.382265411749512                                 0.3853184311299446                                0.3855379698953625                                0.38773947659118735
31800                                             0.38232727718918447                               0.3853882284065228                                0.38561090565096434                               0.3878235918240677
32400                                             0.38238914262887125                               0.38545802568310394                               0.3856838414065722                                0.3879077070569515
33000                                             0.3824510080685482                                0.3855278229596867                                0.385756777162176                                 0.3879918222898329
33600                                             0.38251287350822033                               0.38559762023626487                               0.3858297129177859                                0.38807593752272235
34200                                             0.3825747389479051                                0.3856674175128427                                0.3859026486733916                                0.38816005275560544
34800                                             0.38263660438758146                               0.38573721478942585                               0.3859755844289991                                0.38824416798848826
35400                                             0.3826984698272579                                0.38580701206600765                               0.386048520184613                                 0.3883282832213796
